48.0	48.0	52.0	1.354711	1.285778	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	54.0	1.625067	1.611867	48.0	48.0	48.0	48.0	48.0	48.0	50.0	1.380134	1.265245	48.0	48.0
44.0	44.0	51.0	1.691556	1.673956	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	53.0	1.652445	1.639734	44.0	44.0	44.0	44.0	44.0	44.0	53.0	1.452001	1.364001	44.0	44.0
57.0	57.0	64.0	1.919867	24.401914	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	66.0	2.265022	2.2528	57.0	57.0	57.0	57.0	57.0	57.0	66.0	1.587911	1.669067	57.0	57.0
50.0	50.0	55.0	1.485733	1.648044	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	58.0	1.87929	1.859245	50.0	50.0	50.0	50.0	50.0	50.0	59.0	1.510667	1.491112	50.0	50.0
43.0	43.0	51.0	1.253023	1.237866	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	54.0	1.6456	1.687644	43.0	43.0	43.0	43.0	43.0	43.0	52.0	1.351289	1.355689	43.0	43.0
53.0	53.0	54.0	1.384534	1.441245	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	56.0	1.401156	1.417289	53.0	53.0	53.0	53.0	53.0	53.0	58.0	1.716489	1.798134	53.0	53.0
51.0	51.0	63.0	2.094889	2.057733	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	61.0	1.556134	1.538533	51.0	51.0	51.0	51.0	51.0	51.0	61.0	1.475955	1.639245	51.0	51.0
47.0	47.0	48.0	1.635823	1.628001	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	53.0	1.310711	1.364489	47.0	47.0	47.0	47.0	47.0	47.0	50.0	1.242266	1.224178	47.0	47.0
50.0	50.0	54.0	1.336133	1.340533	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	59.0	1.829911	1.804978	50.0	50.0	50.0	50.0	50.0	50.0	55.0	1.376712	1.372801	50.0	50.0
43.0	43.0	47.0	1.133244	1.124934	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	52.0	1.232	1.209023	43.0	43.0	43.0	43.0	43.0	43.0	47.0	1.222711	1.110267	43.0	43.0
43.0	43.0	57.0	1.494044	1.637778	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	59.0	1.421689	1.493556	43.0	43.0	43.0	43.0	43.0	43.0	55.0	1.232	1.297022	43.0	43.0
48.0	48.0	58.0	1.892489	1.854845	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	56.0	1.366933	1.355201	48.0	48.0	48.0	48.0	48.0	48.0	57.0	1.377689	1.365956	48.0	48.0
96.0	96.0	85.0	2.422934	2.412667	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	76.0	2.069467	2.551023	96.0	96.0	96.0	96.0	96.0	96.0	86.0	2.338355	2.317334	96.0	96.0
50.0	50.0	50.0	1.575201	1.256934	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	53.0	1.661733	1.621645	50.0	50.0	50.0	50.0	50.0	50.0	51.0	1.329778	1.226133	50.0	50.0
45.0	45.0	53.0	1.312667	1.299956	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	45.0	56.0	1.586933	1.301911	45.0	45.0	45.0	45.0	45.0	45.0	53.0	1.2672	1.285289	45.0	45.0
