dataTitle	History_of_physics	Enrico_Fermi	Azerbaijani_Armed_Forces	BDSM	Greenhouse_effect	Globular_cluster	English_Channel	Ecclesiastes	Foreign_relations_of_Cuba	Ernest_Hemingway	Economy_of_Indonesia	Economy_of_Chile	Hausdorff_dimension	Charles_Baudelaire	Amino_acid	Acceptance_testing	Eleanor_of_Aquitaine	European_Parliament	December_5	Crannog
                            Frisian languages	13.2866	26.1632	17.4871	5.4999	13.7534	8.5669	6.8100	-47.7817	7.0117	6.6498	16.9625	16.4818	20.4573	17.3529	9.9682	20.3754	8.8693	8.6617	84.1116	16.6571
                                  Film format	15.2128	23.3947	16.6948	7.6762	14.3677	7.6024	8.3084	-49.9088	9.7491	8.3133	13.3559	11.6495	18.8148	21.0726	9.0082	20.9485	11.4341	14.0971	364.7179	23.2418
                         Binary-coded decimal	12.6745	29.5481	18.5833	6.4325	16.9439	7.1000	9.2459	-44.9508	8.4192	8.3629	15.3302	14.1494	14.6906	21.1666	7.9313	17.5054	11.6162	11.2789	-168.1741	21.0087
               England national football team	16.6820	31.0592	19.4614	7.2996	22.7153	9.3671	7.8184	-47.4870	8.3312	7.5205	15.8600	13.2986	26.2521	26.2156	11.5971	31.0762	10.4293	12.9817	34.5439	29.8797
                                     Hawkwind	11.4620	19.0985	12.6793	5.9529	13.4228	7.7247	7.1766	-48.7869	6.4676	5.8009	11.7405	12.3151	20.0151	10.6073	9.0766	17.7717	7.7979	9.4573	59.1126	18.0456
                                    Floorball	13.0246	15.3225	10.4535	4.9301	12.5575	7.0197	6.0547	-48.0354	5.7333	6.1770	9.4154	8.7725	15.3009	15.5530	8.1747	12.7194	8.9868	7.9619	52.9561	17.9290
                          Amos Bronson Alcott	8.8240	13.8897	14.6750	5.6426	11.6789	7.9275	8.1930	-50.0066	7.3630	5.4329	14.8521	13.4633	16.7346	10.1234	9.1106	21.0685	7.3616	9.7111	73.9438	16.1605
                             Brass instrument	11.8719	36.2074	26.3404	6.6258	17.6913	8.5017	11.0289	-46.6273	9.8517	9.1998	18.9093	16.8444	17.4042	21.3672	9.8906	25.2761	12.9208	11.5079	-662.3824	23.8570
                                 Calreticulin	16.5417	17.3134	30.6653	6.7509	9.7402	7.3212	15.6476	-50.9648	11.5239	11.9620	22.6865	31.3970	13.5651	22.2335	4.4604	38.1900	15.9581	13.0632	321.6444	23.6503
                          Grandmaster (chess)	9.9680	15.8680	13.1737	5.2108	11.5473	6.4113	7.1460	-47.5593	6.2194	6.1445	11.9744	11.0836	12.7933	12.1035	8.5073	14.6019	8.2936	8.0942	36.2065	15.5889
                       Anti-ballistic missile	10.6309	15.6606	7.9743	5.1721	10.9827	6.8704	6.5441	-48.5560	5.2381	6.8927	10.6815	9.5056	17.3793	14.3424	8.4008	12.0356	9.9207	8.4642	67.3104	16.8946
                            Centripetal force	9.8037	22.8054	19.1120	6.6868	10.4103	7.0290	10.1812	-45.7295	9.3502	8.6573	18.6954	18.8760	9.0728	18.8053	7.3754	21.7746	12.9477	10.8537	-133.2045	20.8700
                         Behistun Inscription	10.2665	18.7980	16.6225	6.0532	13.2444	8.3440	7.7294	-48.5049	7.2272	6.2846	16.2750	13.9962	20.2380	15.2515	10.6050	22.6208	9.0317	11.2673	57.3411	17.4458
                                      Absalon	11.4861	22.7606	13.2182	6.8509	15.1830	9.5142	7.9942	-49.0437	7.2615	6.2992	16.0091	13.0645	22.5118	14.2879	11.4329	21.3454	8.4018	10.1888	102.9917	16.8150
                                Édouard Manet	11.0522	25.6408	20.0474	6.2140	16.4393	8.9758	8.8751	-48.6262	9.2408	6.1656	23.7745	18.9357	23.4407	8.1683	12.0978	28.0065	9.3095	13.1284	69.4018	24.4119
                Electronic musical instrument	10.0536	19.4245	16.5306	6.1439	13.9575	7.7662	8.7608	-47.3957	7.9638	6.9861	15.3172	14.7388	17.6099	14.9244	7.6568	18.5346	11.1407	9.9362	63.1943	23.4466
                List of country calling codes	26.1903	60.4218	17.3738	9.2093	30.4292	10.2742	11.4099	-45.1867	8.5182	10.9844	23.6995	15.1544	32.3208	43.7321	13.5284	43.5963	19.0217	17.7472	23.4227	35.5693
                                      Dunstan	10.0429	18.3333	14.3593	6.2042	13.9136	8.5084	7.6777	-49.4393	7.5210	5.9410	17.3853	15.1265	15.7927	11.7599	9.9427	23.6544	6.8209	9.7693	79.5710	13.9787
                                    ASCII art	12.7595	18.5136	12.7158	5.1466	12.7061	6.3700	7.1161	-51.7291	7.1973	6.5562	11.7707	11.9946	15.2798	14.0526	6.8986	13.5456	9.6330	8.6752	183.6099	16.4697
                                       Easter	10.3921	17.4282	13.6654	5.6403	11.8405	7.1627	7.2152	-48.1876	6.9273	6.7291	13.2652	12.5782	14.6160	12.2899	8.1297	16.7405	7.6948	8.2650	55.6257	16.4247
                                        Haiti	9.7426	10.7897	7.9157	4.7191	8.2918	5.9283	5.4545	-49.2141	4.6536	5.3314	7.5600	7.1543	12.7531	10.6355	6.3641	11.2048	7.2487	6.5692	34.6183	12.1652
                                 Hypnotherapy	9.2059	13.7867	12.8315	4.4829	10.3289	6.4359	7.7161	-49.0667	6.5222	6.6940	11.7351	11.4587	11.1127	12.0100	6.4926	13.5332	9.1037	8.6641	92.5935	11.8514
                    Emancipation Proclamation	10.1134	14.6170	11.3928	5.3579	10.7502	6.9990	7.3341	-48.9009	5.7773	5.8488	12.1280	10.4602	16.4441	11.7232	8.3220	16.2411	7.8737	7.7233	38.3822	14.3267
                       Australian Labor Party	10.5553	17.5963	12.5780	5.3279	12.3015	7.3385	7.3482	-47.8770	5.2702	6.2635	9.4701	8.2213	17.5000	15.4256	8.2471	20.6671	8.4542	7.1773	23.9002	19.2869
                               Giordano Bruno	9.9507	16.9247	16.6764	6.4084	13.2013	8.5152	8.7308	-48.2594	8.4437	7.1429	17.4939	14.9068	17.2433	12.8423	10.2859	23.6009	9.1430	10.8245	103.6926	20.1134
                                      Frisbee	10.7484	13.6536	13.8241	5.7017	11.3257	6.7198	7.7645	-47.7878	6.4365	6.4210	12.8606	13.9842	15.1138	14.2390	8.2670	16.7317	9.3294	8.8449	62.3709	16.8378
                                     Dyslexia	9.2643	10.5881	10.0696	4.0261	6.9648	5.4034	6.0882	-49.8435	6.2732	6.5336	10.0405	10.2568	9.5764	11.0653	4.6777	10.9955	7.0147	7.2380	83.1716	9.8944
                            Finnish Civil War	9.1510	15.5718	11.6656	6.3437	14.5628	8.6916	8.2543	-49.9342	6.7817	7.4434	15.8690	14.2940	16.2383	14.4216	10.2050	22.9452	9.1480	9.7550	50.8780	18.2605
                           Ecumenical council	9.6873	17.7125	13.9472	5.5681	12.4597	8.2376	7.5029	-48.1486	6.4187	7.0662	15.8448	14.2295	15.4956	11.8496	8.3746	18.7649	6.8030	8.3935	56.1250	13.3669
                     Archbishop of Canterbury	11.0863	17.3555	13.1465	5.5121	14.7622	7.9923	6.4538	-46.7675	6.5577	6.2861	14.4180	12.0810	17.6490	13.7756	9.0249	22.3507	5.6770	8.4794	34.5673	15.1506
                 Military engineering vehicle	13.1589	33.3622	12.2537	7.3162	17.2447	9.0134	9.2022	-49.9550	8.4261	8.1674	21.0278	19.7521	21.3367	21.5806	10.4153	17.9156	14.0603	14.0082	154.7787	27.4862
                                    First aid	10.2578	20.3845	13.7201	5.2899	13.6568	7.6611	7.4868	-47.0091	7.1021	6.5625	13.9509	15.2658	15.5638	14.3071	8.0322	14.3965	9.5227	9.7374	79.1260	16.1835
                                       Bengal	10.0281	13.9495	9.2792	5.2218	9.6252	6.5548	5.7534	-47.8057	5.3873	6.1173	8.7806	8.6474	13.1409	12.4895	7.0865	14.0768	8.4251	7.7178	49.8400	12.5965
                               Foster's Lager	11.3425	14.2700	9.0631	4.8545	10.6137	6.2804	6.0754	-47.8768	5.0224	5.4603	8.4112	8.2536	14.9649	11.4705	7.4698	12.5489	7.8749	7.6514	42.9026	13.4425
                                  December 17	29.1259	186.8538	50.8180	9.3499	48.5820	15.4425	15.7223	-46.0930	9.7359	8.3274	362.5522	40.2169	418.8103	32.2590	23.7681	-379.5469	23.0903	34.7511	4.1206	347.0143
                                 Hollow Earth	8.7819	20.8686	16.7302	5.8215	11.1438	7.0593	7.8472	-48.4576	7.9638	6.3722	17.5399	14.8992	15.3526	13.1819	9.2724	23.4131	9.1537	11.5905	65.8082	15.1895
                                Duke Nukem 3D	11.3733	13.4528	10.3947	5.2231	10.1349	6.5457	6.4624	-48.8540	5.9862	5.4826	9.2927	9.3649	14.4338	11.8864	7.5829	11.0052	7.6103	8.2009	113.3360	15.2426
                                  Bram Stoker	11.6128	15.8927	13.6004	5.9412	13.0770	7.7161	7.4619	-50.0178	7.3206	5.5450	14.8620	13.0944	17.0771	11.0900	9.1363	20.6572	8.1535	9.9180	44.2854	15.8416
                             Bubblegum Crisis	18.2783	20.0573	13.9545	6.4981	13.5767	7.4655	8.4227	-46.7174	7.5366	7.1025	14.0065	11.7432	18.7335	14.9236	9.1059	19.3355	11.1430	11.1430	221.2206	20.0841
                               Dale Earnhardt	16.0888	43.2225	21.0700	7.7419	20.9010	9.4629	8.9870	-47.8058	10.4710	7.0419	17.1173	12.5701	29.5727	23.9511	8.8120	43.6819	9.1065	18.0666	64.0948	29.0342
                           Billy Bob Thornton	11.8869	12.8126	10.4004	5.0758	10.5846	6.6135	6.5656	-49.1429	5.6115	5.1216	9.8971	9.3741	15.4659	9.8799	7.5933	13.4423	7.2352	8.2861	53.4212	14.5259
              Amber Diceless Roleplaying Game	12.0009	25.6164	15.4654	5.5186	14.4355	6.8660	8.0832	-46.1934	8.0417	6.8294	16.3635	14.6608	17.3724	14.4207	8.9284	18.6609	8.5130	9.9993	165.7529	18.5871
                                      Ansbach	11.1861	17.1291	12.9594	6.3114	15.1174	8.3048	7.5687	-49.5661	7.4285	6.8124	15.9418	14.4102	18.1377	15.1042	10.2307	23.7917	9.1604	10.7403	36.9358	18.1951
                                      Density	10.5077	20.0000	18.0817	6.2755	10.9551	6.0025	8.1472	-47.7193	8.9055	7.7873	15.4923	12.2051	12.5099	18.2201	7.0965	16.1493	11.2796	11.7676	-136.0000	17.4359
                               Henry Fielding	8.7934	15.2420	13.1480	5.3284	11.4740	7.1530	6.7649	-49.9838	6.9127	4.8587	13.6571	13.1761	13.6269	9.3886	8.3645	17.7896	6.5810	9.3957	34.4860	13.6571
                   Asynchronous Transfer Mode	12.2724	31.2302	15.1878	5.7248	15.1973	7.5122	8.6880	-47.4214	8.1109	7.9525	13.8133	14.2485	18.3348	20.1336	7.8276	18.0636	12.4602	10.8930	-581.4762	21.9228
                               Cayman Islands	11.2144	13.5571	8.7381	5.1057	10.4181	6.5271	5.5202	-48.5355	4.7895	5.7931	8.3491	7.6437	14.4811	11.9582	7.3150	12.9273	8.3071	6.8092	48.3979	12.4677
                                   Doctor Syn	13.7424	23.3141	19.9792	6.8959	19.6471	9.1945	8.9953	-47.5666	8.6121	6.5102	19.5222	17.9906	25.8218	14.5080	11.7104	31.6132	8.4048	13.1541	60.7273	29.5462
                    Foreign relations of Chad	10.8988	17.7767	9.5936	5.4844	15.2402	7.4691	6.7316	-47.4704	4.2189	6.1062	8.7788	7.6246	22.1747	13.4632	8.9317	19.5979	9.1030	7.1683	32.6964	21.5412
                                     Capybara	11.8609	14.5758	11.7447	5.1535	9.7126	6.2220	7.1574	-48.9832	6.8288	6.7206	11.9654	10.6241	11.2955	13.1042	6.2372	15.1053	10.8043	8.5081	152.0672	10.6296
                                       Datura	11.8423	16.6338	15.5910	5.4864	9.1111	6.4063	8.7587	-49.2532	7.8115	7.5398	15.9516	14.8000	11.1462	14.1643	5.7879	19.3990	11.4146	9.8188	106.8310	12.9658
                            Societas Europaea	12.0668	28.6533	12.2556	5.3521	18.3971	8.3530	8.6975	-46.5921	6.5657	7.7471	14.5163	10.6522	18.2339	16.6468	9.2347	18.6052	10.0840	8.2524	93.9829	21.6408
                                       Borneo	11.3877	17.3252	11.9732	5.9393	13.2646	7.5798	6.3907	-47.3327	6.7497	7.1339	9.4360	8.5667	17.6033	16.1851	8.5639	17.8420	9.7075	9.8051	45.7687	17.0447
                         Gilbert and Sullivan	11.3798	19.0829	14.7742	6.1763	15.1066	8.6535	8.6921	-48.3892	8.1434	6.1333	15.7787	14.2997	17.1999	11.3719	10.7510	19.8601	8.9387	10.7215	65.2253	15.9414
                                  Citizenship	8.9143	16.5199	11.6254	4.7016	11.1298	7.1051	7.5099	-48.0686	5.8017	6.2561	11.6594	11.0072	13.7315	13.7362	7.4888	17.5660	8.5080	6.5057	52.5592	14.6857
          Edward de Vere, 17th Earl of Oxford	8.1646	13.0217	13.6383	5.2662	10.8811	7.2836	6.7771	-50.1128	6.7582	5.7759	14.7743	13.1127	13.7707	9.7114	8.7887	18.6060	5.9049	9.2424	48.0438	13.6064
                      Greatest common divisor	10.9209	20.9467	21.9828	5.9638	13.5750	6.7206	9.5891	-47.4339	9.2927	7.7527	17.5485	19.9648	7.8691	18.3684	7.3014	16.8402	11.4021	11.1533	-5111.0000	15.9719
                         Afonso I of Portugal	16.7811	22.7714	22.7993	7.4687	23.7893	10.3598	8.7328	-48.7618	9.3275	8.0497	30.4363	23.3421	29.7556	18.7583	12.8996	36.5235	6.5588	13.6662	62.9291	30.5862
            Quintus Fabius Maximus Verrucosus	12.3534	20.1266	18.4194	7.5278	19.1993	9.8448	9.2373	-46.0209	8.6128	7.3625	20.0221	18.5300	25.1501	14.7109	13.3481	29.1989	8.8553	12.3435	83.7880	32.0520
                                        Taiko	10.3461	12.0829	13.3102	5.1578	11.9165	6.8415	8.2574	-49.8968	7.2670	6.8906	12.8233	12.5479	13.6259	13.3381	7.8947	15.6380	8.3349	9.4329	59.7147	13.7299
                                  Amoxicillin	11.8735	14.5232	13.0753	5.2590	10.2268	6.8098	7.4248	-47.9916	6.9785	7.2708	11.9645	12.2459	12.9278	14.6846	5.7442	13.4753	10.3562	9.4661	121.8511	14.1641
                     Central African Republic	10.3039	13.5293	8.1293	4.9093	10.2036	6.1374	6.2576	-49.2726	4.6370	5.3611	7.7611	6.8201	14.6033	11.6167	6.8227	13.1558	8.6554	6.5247	25.2899	13.0478
                            Hamilton, Ontario	11.9820	13.7004	9.8515	5.2348	10.3889	6.0559	6.0123	-47.5719	5.5290	5.8646	8.8690	8.6818	15.0858	13.4821	7.0939	13.3484	8.7575	7.6030	57.3349	13.5935
                           Ahmad Shah Durrani	13.4733	19.1076	11.7166	6.2950	11.6338	9.1539	7.4372	-49.3903	7.4621	6.8887	14.0800	14.3961	19.7768	15.0370	9.2751	21.4960	8.3701	10.4598	221.2456	18.0587
                    Accelerated Graphics Port	14.5703	32.3345	18.1229	6.2576	17.5990	7.6739	8.8457	-46.6819	8.6715	7.7299	15.7404	12.9484	19.8860	23.2840	8.8842	19.5331	11.3556	12.0641	-153.0267	27.5419
