dataTitle	url	Green_Bay_Packers	Acid	Aberdare	Book_of_Revelation	Brigham_Young	Cash_register	Antoninus_Pius	Cinema_of_Germany	Harrison_Narcotics_Tax_Act	East_Germany	Honda	Eurovision_Song_Contest	Free_Methodist_Church	A_Doll_s_House	Eugene_Wigner	Geography_of_India	Chambered_cairn	Diego_Maradona	Politics_of_Germany	ISO_8601
              Cosmological argument	https://en.wikipedia.org/wiki/Cosmological+argument	8.9142	6.7803	6.1834	5.2592	5.9547	6.5704	5.4231	6.0726	5.5429	6.1716	6.1637	5.9713	6.7377	5.4079	5.5493	6.5570	9.6633	7.8238	6.4326	7.2105
                      Gheorghe Hagi	https://en.wikipedia.org/wiki/Gheorghe+Hagi	5.0462	9.5309	6.0483	7.7388	6.3791	7.6396	6.3378	5.4647	7.3904	5.2471	5.3642	5.4593	7.2805	5.9473	6.5971	6.7849	11.7191	3.3720	5.4844	6.1158
               Bernard of Clairvaux	https://en.wikipedia.org/wiki/Bernard+of+Clairvaux	11.0958	9.9358	6.0632	6.5046	6.1244	8.4836	5.7315	6.9582	7.1566	6.9651	7.9448	7.7095	7.9448	5.5894	5.6611	8.6894	13.8817	8.8378	8.0750	10.5938
                Constantin Brâncuși	https://en.wikipedia.org/wiki/Constantin+Br%C3%A2ncu%C8%99i	8.5734	9.0771	6.1849	6.4374	6.0114	7.3570	5.8055	5.7818	6.9859	6.2444	6.6020	6.3385	7.2121	5.7525	6.1166	8.0138	9.9045	7.2605	6.9453	8.4396
History of the Mediterranean region	https://en.wikipedia.org/wiki/History+of+the+Mediterranean+region	9.7559	8.7475	6.2809	6.6809	6.4402	8.3176	4.8025	5.9354	7.1059	6.3686	7.6197	6.5825	7.2630	7.0521	6.9750	6.1938	8.7440	9.3399	6.5574	8.9615
                              DARPA	https://en.wikipedia.org/wiki/DARPA	7.5264	7.2418	5.9860	6.2913	5.3742	5.8283	6.0103	5.5207	5.9527	5.3570	4.9697	5.6190	6.7896	5.9814	5.1512	6.1505	10.6209	7.2011	5.1859	6.4798
           Demographics of Ethiopia	https://en.wikipedia.org/wiki/Demographics+of+Ethiopia	7.9641	9.8564	7.6169	9.0094	8.1903	10.2416	9.5070	6.3607	9.2627	6.9764	7.5471	7.5868	7.9641	8.7364	8.5612	7.1054	14.0978	7.3593	5.7288	7.7240
                Arithmetic function	https://en.wikipedia.org/wiki/Arithmetic+function	12.0751	5.7333	10.5577	9.1281	9.9604	9.9460	8.7055	9.4820	9.3886	9.2226	10.0072	10.9639	11.9550	9.6542	8.8846	10.4816	14.7021	12.6152	8.9828	8.6240
                               Jinn	https://en.wikipedia.org/wiki/Jinn	10.0373	8.2698	7.2132	6.2100	6.4356	8.0114	5.9311	6.6355	7.5848	6.4700	7.4627	7.0934	7.9269	6.0514	6.9487	7.5454	9.4950	8.5254	7.4652	9.2925
                   Aircraft carrier	https://en.wikipedia.org/wiki/Aircraft+carrier	7.8638	8.6627	6.0460	7.8848	6.3971	6.3408	6.5029	6.2300	6.9027	6.6284	5.4826	6.1585	7.0336	6.4110	6.4873	6.3204	11.6944	7.2014	5.6908	7.3159

